score,adsh,form,file_date,file_type,file_description,root_forms,ciks,display_names,_id
14.640663,0000827052-19-000033,8-K,2019-02-28,EX-99.3,"EIX 2018 FINANCIAL RESULTS CONFERENCE CALL PRESENTATION DATED FEBRUARY 28, 2019",8-K,"0000827052,0000092103","EDISON INTERNATIONAL  (EIX)  (CIK 0000827052) | SOUTHERN CALIFORNIA EDISON CO  (SCE-PG, SCE-PH, SCE-PJ, SCE-PK, SCE-PL, SCE-PM, SCE-PN)  (CIK 0000092103)",0000827052-19-000033:a993eixq42018financialre.htm
14.640188,0001308179-23-000881,8-K,2023-05-31,EX-99.1,EX-99.1,8-K,"0001004980,0000075488","PG&E Corp  (PCG, PCG-PA, PCG-PB, PCG-PC, PCG-PD, PCG-PE, PCG-PG, PCG-PH, PCG-PI)  (CIK 0001004980) | PACIFIC GAS & ELECTRIC Co  (CIK 0000075488)",0001308179-23-000881:lpcg804_ex99-1.htm
14.639029,0001193125-20-139252,8-K,2020-05-11,EX-99.1,EX-99.1,8-K,0001653653,"Red Rock Resorts, Inc.  (RRR)  (CIK 0001653653)",0001193125-20-139252:d892739dex991.htm
14.633409,0000827052-19-000107,8-K,2019-04-30,EX-99.3,EIX Q1 2019 CONFERENCE CALL PRESENTATION DATED 4/30/2019,8-K,"0000827052,0000092103","EDISON INTERNATIONAL  (EIX)  (CIK 0000827052) | SOUTHERN CALIFORNIA EDISON CO  (SCE-PG, SCE-PH, SCE-PJ, SCE-PK, SCE-PL, SCE-PM, SCE-PN)  (CIK 0000092103)",0000827052-19-000107:eixq12019teleconferenced.htm
14.630496,0001193125-21-323174,424B1,2021-11-08,424B1,424B1,424B1,"0000075488,0001866514",PACIFIC GAS & ELECTRIC Co  (CIK 0000075488) | PG&E Recovery Funding LLC  (CIK 0001866514),0001193125-21-323174:d140096d424b1.htm
14.62904,0000827052-19-000108,10-Q,2019-04-30,10-Q,EIX/SCE FORM 10-Q,10-Q,"0000827052,0000092103","EDISON INTERNATIONAL  (EIX)  (CIK 0000827052) | SOUTHERN CALIFORNIA EDISON CO  (SCE-PG, SCE-PH, SCE-PJ, SCE-PK, SCE-PL, SCE-PM, SCE-PN)  (CIK 0000092103)",0000827052-19-000108:eix-sceq110q2019.htm
14.624576,0000827052-21-000018,8-K,2021-02-25,EX-99.3,"EXHIBIT 99.3 EIX 2020 FINANCIAL RESULTS PRESENTATION DATED FEBRUARY 25, 2021",8-K,"0000827052,0000092103","EDISON INTERNATIONAL  (EIX)  (CIK 0000827052) | SOUTHERN CALIFORNIA EDISON Co  (SCE-PG, SCE-PH, SCE-PJ, SCE-PK, SCE-PL, SCE-PM, SCE-PN)  (CIK 0000092103)",0000827052-21-000018:eixq42020earningstelecon.htm
14.62426,0001004980-20-000026,10-Q,2020-05-01,10-Q,10-Q,10-Q,"0001004980,0000075488","PG&E Corp  (PCG, PCG-PA, PCG-PB, PCG-PC, PCG-PD, PCG-PE, PCG-PG, PCG-PH, PCG-PI)  (CIK 0001004980) | PACIFIC GAS & ELECTRIC Co  (CIK 0000075488)",0001004980-20-000026:pcg-20200331.htm
14.622692,0001193125-21-054625,8-K,2021-02-24,EX-10.2,EX-10.2,8-K,"0000092103,0001826571","SOUTHERN CALIFORNIA EDISON Co  (SCE-PG, SCE-PH, SCE-PJ, SCE-PK, SCE-PL, SCE-PM, SCE-PN)  (CIK 0000092103) | SCE Recovery Funding LLC  (CIK 0001826571)",0001193125-21-054625:d144257dex102.htm
14.622171,0001193125-23-095335,SF-1/A,2023-04-07,SF-1/A,SF-1/A,SF-1,"0000092103,0001826571","SOUTHERN CALIFORNIA EDISON Co  (SCE-PG, SCE-PH, SCE-PJ, SCE-PK, SCE-PL, SCE-PM, SCE-PN)  (CIK 0000092103) | SCE Recovery Funding LLC  (CIK 0001826571)",0001193125-23-095335:d481353dsf1a.htm
14.621954,0001193125-22-195596,8-K,2022-07-18,EX-99.1,EX-99.1,8-K,0001653653,"Red Rock Resorts, Inc.  (RRR)  (CIK 0001653653)",0001193125-22-195596:d322695dex991.htm
14.619944,0001004980-21-000007,10-K,2021-02-25,10-K,10-K,10-K,"0001004980,0000075488","PG&E Corp  (PCG, PCG-PA, PCG-PB, PCG-PC, PCG-PD, PCG-PE, PCG-PG, PCG-PH, PCG-PI)  (CIK 0001004980) | PACIFIC GAS & ELECTRIC Co  (CIK 0000075488)",0001004980-21-000007:pcg-20201231.htm
14.618367,0000827052-21-000018,8-K,2021-02-25,EX-99.2,"EXHIBIT 99.2 EIX 2020 CONFERENCE CALL PREPARED REMARKS DATED FEBRUARY 25, 2021",8-K,"0000827052,0000092103","EDISON INTERNATIONAL  (EIX)  (CIK 0000827052) | SOUTHERN CALIFORNIA EDISON Co  (SCE-PG, SCE-PH, SCE-PJ, SCE-PK, SCE-PL, SCE-PM, SCE-PN)  (CIK 0000092103)",0000827052-21-000018:eix-sceexhibit992q42020.htm
14.614285,0000827052-19-000143,8-K,2019-08-30,8-K,8-K GRC,8-K,"0000827052,0000092103","EDISON INTERNATIONAL  (EIX)  (CIK 0000827052) | SOUTHERN CALIFORNIA EDISON Co  (SCE-PG, SCE-PH, SCE-PJ, SCE-PK, SCE-PL, SCE-PM, SCE-PN)  (CIK 0000092103)",0000827052-19-000143:form8-k2021generalrate.htm
14.613509,0000827052-19-000134,8-K,2019-07-25,EX-99.1,EIX PRESS RELEASE DATED 7/25/19,8-K,"0000827052,0000092103","EDISON INTERNATIONAL  (EIX)  (CIK 0000827052) | SOUTHERN CALIFORNIA EDISON CO  (SCE-PG, SCE-PH, SCE-PJ, SCE-PK, SCE-PL, SCE-PM, SCE-PN)  (CIK 0000092103)",0000827052-19-000134:eix-sceexhibit99x1q22019.htm
